stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
Fluorodeoxyglucose emission positron tomography	Fluorodeoxyglucose positron emission tomography	Fluorodeoxyglucose positron emission tomography	4	5,95713542369	34,648562585	644,722978312	3,0	42,0	 
occurrence response	response occurrence	response occurrence	2	4,72091812914	30,4705252852	159,484994762	2,0	32,0	 
elevate level	elevated levels	elevated levels	2	9,44183625827	50,5681332296	220,311976911	6,0	105,0	 
neurogenesis postnatal	postnatal neurogenesis	postnatal neurogenesis|&|Postnatal neurogenesis	2	4,72091812914	33,7428163761	402,047487164	3,0	39,0	 
index patient	index patient	index patient|&|index patients	2	6,29455750551	40,627367047	329,494037892	2,0	31,0	 
analysis regression tree	regression tree analysis	regression tree analysis	3	3,9714236158	24,709315429	261,728004317	2,0	31,0	 
stomatitis vesicular virus	vesicular stomatitis virus	vesicular stomatitis virus	3	3,9714236158	24,709315429	174,472382935	2,0	33,0	 
protein transmembrane	transmembrane proteins	transmembrane proteins|&|transmembrane protein	2	7,86819688189	43,5746529293	121,239553478	5,0	67,0	 
patient proportion	proportion of patients	proportion of patients|&|proportions of patients	3	11,0154756347	57,2981123768	254,745301945	7,0	103,0	 
acute failure renal	acute renal failure	acute renal failure|&|Acute renal failure	3	5,95713542369	34,648562585	185,771884451	3,0	40,0	 
gene glucagon transcription	glucagon gene transcription	glucagon gene transcription	3	11,9142708474	74,1279462871	482,760437559	4,0	68,0	 
Chinese population schizophrenia	schizophrenia in Chinese population	schizophrenia in Chinese population|&|schizophrenia in the Chinese population	4	5,95713542369	37,0639731435	360,2725794	2,0	41,0	 
DNA binding carboxy-terminal subdomain	carboxy-terminal subdomain in DNA binding	carboxy-terminal subdomain in DNA binding	5	3,9714236158	24,709315429	167,765913637	2,0	33,0	 
examination histological	histological examination	histological examination|&|Histological examination	2	6,29455750551	36,2643122592	295,667978971	4,0	53,0	 
foveal hypoplasia	foveal hypoplasia	foveal hypoplasia	2	14,1627543874	71,7778293106	146,076047103	8,0	87,0	 
predictive value	predictive value	predictive value|&|Predictive value	2	12,589115011	65,483557002	218,276360392	13,0	152,0	 
recognition sequence	recognition sequences	recognition sequences|&|sequence recognition|&|recognition sequence	2	6,29455750551	36,2643122592	196,420056306	6,0	43,0	 
amygdala medial	medial amygdala	medial amygdala	2	9,44183625827	60,9410505705	103,122444969	2,0	36,0	 
IRF6 developmental factor	Developmental factor IRF6	Developmental factor IRF6	3	3,9714236158	24,709315429	548,828094381	2,0	27,0	 
collagen fibronectin type	fibronectin and collagen type	fibronectin and collagen type	4	5,95713542369	41,1931447667	207,375435186	1,0	17,0	 
polystyrene surface	polystyrene surface	polystyrene surface	2	4,72091812914	33,7428163761	223,284404422	1,0	11,0	 
gene zp3	zp3 genes	zp3 genes	2	4,72091812914	33,7428163761	106,907706559	1,0	15,0	 
component membrane transformation-sensitive	transformation-sensitive membrane components	transformation-sensitive membrane components	3	3,9714236158	24,709315429	216,719303751	2,0	12,0	 
breast carcinoma--a multicentric review systematic	multicentric breast carcinoma--a systematic review	multicentric breast carcinoma--a systematic review	5	3,9714236158	24,709315429	83,4863984115	2,0	21,0	 
SLNs multiple	multiple SLNs	multiple SLNs|&|Multiple SLNs	2	9,44183625827	50,5681332296	537,323961798	9,0	83,0	 
key molecule	key molecule	key molecule	2	4,72091812914	28,5563577056	122,453471398	3,0	49,0	 
DNA analysis complementary sequence stomach	analysis of stomach complementary DNA sequence	analysis of stomach complementary DNA sequence	6	3,9714236158	24,709315429	169,723095993	2,0	24,0	 
formation lens placode	lens placode formation	lens placode formation	3	9,92855903949	61,7732885726	102,496301716	6,0	77,0	 
cytokeratin detection mRNA	cytokeratin mRNA in the detection	cytokeratin mRNA in the detection	5	3,9714236158	24,709315429	128,824566727	2,0	26,0	 
breast cancer lymphoscintigraphy	breast cancer by lymphoscintigraphy	breast cancer by lymphoscintigraphy|&|breast cancer with lymphoscintigraphy	4	3,9714236158	24,709315429	341,923018821	4,0	69,0	 
epidermal factor growth presence	presence of epidermal growth factor	presence of epidermal growth factor	5	15,8856944632	78,9362519638	463,125773391	7,0	185,0	 
Intra-operative cytology imprint	Intra-operative imprint cytology	Intra-operative imprint cytology	3	3,9714236158	24,709315429	406,407669359	2,0	17,0	 
such technique	techniques such	techniques such	2	4,72091812914	28,5563577056	253,212570625	3,0	59,0	 
body cell	cell bodies	cell bodies|&|cell body	2	23,6045906457	114,362503334	203,810131845	10,0	146,0	 
cell mononuclear	mononuclear cells	mononuclear cells	2	4,72091812914	30,4705252852	192,693004704	2,0	20,0	 
absence presence	presence or absence	presence or absence|&|absence or presence|&|presence and absence	3	28,3255087748	120,585647666	157,274501335	18,0	330,0	 
bone marrow transplantation	Transplantation of bone marrow	Transplantation of bone marrow|&|transplantation of bone marrow	4	5,95713542369	34,648562585	588,080602378	3,0	39,0	 
TNM classification	TNM classification	TNM classification	2	4,72091812914	28,5563577056	248,62965013	3,0	35,0	 
Functional analysis	Functional analysis	Functional analysis	2	4,72091812914	28,5563577056	144,543791357	5,0	65,0	 
breast cancer lymph metastasis node non-sentinel patient	non-sentinel lymph node metastasis in breast cancer patients	non-sentinel lymph node metastasis in breast cancer patients	8	3,9714236158	24,709315429	217,714580349	2,0	39,0	 
siRNA transfection	siRNA transfection	siRNA transfection|&|transfection of siRNA	2	4,72091812914	28,5563577056	228,320013239	3,0	43,0	 
clinical trial	clinical trials	clinical trials|&|clinical trial|&|Clinical trial	2	22,0309512693	100,958202119	304,352372129	15,0	209,0	 
cleft genetics lip	genetics of cleft lip	genetics of cleft lip	4	3,9714236158	24,709315429	1124,87552385	2,0	10,0	 
operation sham	sham operation	sham operation	2	4,72091812914	28,5563577056	121,258415014	3,0	42,0	 
biopsy further lymph lymphadenectomy node pelvic sentinel	sentinel lymph node biopsy without further pelvic lymphadenectomy	sentinel lymph node biopsy without further pelvic lymphadenectomy	8	3,9714236158	24,709315429	191,366859737	2,0	24,0	 
double mutant	double mutants	double mutants	2	4,72091812914	30,4705252852	248,888709418	2,0	29,0	 
Characterization protein tumour virus	Characterization of tumour virus proteins	Characterization of tumour virus proteins	5	3,9714236158	24,709315429	319,99789768	2,0	11,0	 
disease lymph micrometastatic node sentinel	micrometastatic lymph node disease in sentinel	micrometastatic lymph node disease in sentinel|&|micrometastatic disease in sentinel lymph nodes	6	3,9714236158	24,709315429	443,1752247	4,0	44,0	 
colloid radioactive	radioactive colloid	radioactive colloid|&|radioactive colloids	2	7,86819688189	43,5746529293	307,154182993	7,0	109,0	 
GPR83 T cell expression isoform-1 regulatory	GPR83 isoform-1 expression in regulatory T cells	GPR83 isoform-1 expression in regulatory T cells	7	3,9714236158	24,709315429	467,868677532	2,0	12,0	 
group sulphate	sulphate groups	sulphate groups	2	4,72091812914	28,5563577056	207,665887786	3,0	33,0	 
control patient	patients and controls	patients and controls	3	4,72091812914	28,5563577056	111,242483286	3,0	57,0	 
antenna eye fate	eye and antenna fates	eye and antenna fates	4	5,95713542369	34,648562585	262,833157865	3,0	39,0	 
breast cancer metastasis patient	metastasis in breast cancer patients	metastasis in breast cancer patients	5	5,95713542369	34,648562585	387,748240927	3,0	35,0	 
change expression	expression changes	expression changes|&|expression change|&|changes in the expression|&|changes in expression	2	9,44183625827	50,5681332296	139,841301481	9,0	113,0	 
less morbidity	less morbidity	less morbidity	2	9,44183625827	50,5681332296	242,543798134	6,0	103,0	 
breast carcinoma lobular	lobular carcinoma of the breast	lobular carcinoma of the breast	5	3,9714236158	24,709315429	393,327765738	2,0	16,0	 
model rat	rat model	rat model|&|rat models	2	12,589115011	65,483557002	117,183852312	7,0	110,0	 
defect genetic	genetic defect	genetic defect|&|Genetic defect	2	4,72091812914	28,5563577056	195,776367041	3,0	33,0	 
phenotypic transformation	phenotypic transformation	phenotypic transformation|&|Phenotypic transformation	2	7,86819688189	43,5746529293	662,182791434	11,0	198,0	 
P value	P values	P values	2	4,72091812914	30,4705252852	191,717172838	2,0	31,0	 
group injury ischemia	ischemia injury group	ischemia injury group	3	5,95713542369	41,1931447667	181,264846676	1,0	15,0	 
expression gene level	gene expression levels	gene expression levels|&|gene expression level|&|expression levels of these genes|&|genes with expression levels|&|expression level of these genes	3	15,8856944632	78,9362519638	499,575684789	9,0	148,0	 
comparison sequence	Sequence comparisons	Sequence comparisons|&|sequence comparisons|&|Sequence comparison|&|sequence comparison	2	7,86819688189	43,5746529293	214,903937547	5,0	84,0	 
aqueous solution	aqueous solution	aqueous solution	2	4,72091812914	28,5563577056	200,186980488	3,0	42,0	 
betel cancer cell motility oral quid-induced	betel quid-induced oral cancer cell motility	betel quid-induced oral cancer cell motility	6	3,9714236158	24,709315429	249,283006761	2,0	22,0	 
eye iris-derived lens newt regeneration signal	signals in iris-derived lens regeneration in newt eye	signals in iris-derived lens regeneration in newt eye	8	3,9714236158	24,709315429	124,008778297	2,0	39,0	 
exposure glucose high	high glucose exposure	high glucose exposure	3	3,9714236158	27,4620965111	195,890461693	1,0	27,0	 
cell group	cell groups	cell groups|&|cell group	2	4,72091812914	30,4705252852	218,734173437	2,0	25,0	 
expression profile	expression profiles	expression profiles|&|expression profile|&|Expression profiles|&|profiles of expression	2	29,8991481512	125,668286455	1464,93804919	46,0	755,0	 
lymph metastasis	lymph metastasis	lymph metastasis|&|lymph metastases	2	6,29455750551	36,2643122592	126,547913041	4,0	62,0	 
culture neurosphere	neurosphere cultures	neurosphere cultures|&|neurosphere culture	2	9,44183625827	57,1127154113	146,620511705	3,0	57,0	 
adulthood development	development and adulthood	development and adulthood	3	4,72091812914	28,5563577056	91,1411581172	3,0	58,0	 
carcinoma cavity cell oral squamous	oral cavity squamous cell carcinoma	oral cavity squamous cell carcinoma|&|squamous cell carcinoma of the oral cavity	5	7,94284723159	43,9130686939	433,985987254	6,0	84,0	 
T-box factor transcription	T-box transcription factors	T-box transcription factors|&|T-box transcription factor	3	11,9142708474	61,0387819236	321,948016857	6,0	64,0	 
elderly malnourished patient	malnourished elderly patients	malnourished elderly patients	3	5,95713542369	41,1931447667	207,031814176	1,0	10,0	 
property surface	surface properties	surface properties	2	6,29455750551	36,2643122592	129,8435106	4,0	56,0	 
potential therapeutic	therapeutic potential	therapeutic potential|&|potential therapeutic	2	4,72091812914	28,5563577056	124,804885361	4,0	57,0	 
accurate staging	accurate staging	accurate staging	2	12,589115011	63,8025149427	232,045630901	12,0	191,0	 
mouse mutation	mouse mutations	mouse mutations|&|mice with mutations|&|mutations in the mouse	2	6,29455750551	36,2643122592	67,7711982292	4,0	37,0	 
eye field marker	eye field markers	eye field markers	3	3,9714236158	24,709315429	171,792029761	2,0	34,0	 
cationic cytotoxicity organic transporter	organic cationic transporters without cytotoxicity	organic cationic transporters without cytotoxicity	5	3,9714236158	24,709315429	175,578752466	2,0	25,0	 
characterization imaging lymph node preoperative sentinel	imaging for preoperative characterization of sentinel lymph nodes	imaging for preoperative characterization of sentinel lymph nodes	8	3,9714236158	24,709315429	609,014358703	2,0	23,0	 
differentiation process	differentiation processes	differentiation processes|&|differentiation process	2	4,72091812914	28,5563577056	85,3653766407	3,0	55,0	 
diabetic patient	diabetic patients	diabetic patients	2	4,72091812914	28,5563577056	83,5401430455	3,0	40,0	 
cell implication isolate prognostic tumor	Prognostic implications of isolated tumor cells	Prognostic implications of isolated tumor cells	6	3,9714236158	24,709315429	544,071182392	2,0	30,0	 
affinity binding	binding affinity	binding affinity|&|binding affinities	2	6,29455750551	38,0751436075	159,33732033	3,0	37,0	 
biopsy core-needle	core-needle biopsy	core-needle biopsy	2	4,72091812914	28,5563577056	241,092285755	4,0	71,0	 
cell identity	cell identity	cell identity|&|cell identities	2	6,29455750551	36,2643122592	90,4365193975	6,0	84,0	 
brain normal	normal brain	normal brain	2	6,29455750551	38,0751436075	364,064402854	3,0	55,0	 
approach treatment	treatment approaches	treatment approaches	2	4,72091812914	28,5563577056	118,890971626	3,0	52,0	 
SLNs more	more SLNs	more SLNs	2	14,1627543874	70,1096971055	228,932389095	9,0	97,0	 
domain recognition	domain recognition	domain recognition	2	4,72091812914	30,4705252852	125,106529901	2,0	37,0	 
bind sperm	sperm bind	sperm bind|&|sperm binds	2	12,589115011	67,4241776394	213,888425117	7,0	148,0	 
E13.5 progenitor retinal	E13.5 retinal progenitors	E13.5 retinal progenitors	3	3,9714236158	24,709315429	528,974478597	2,0	23,0	 
2-year-old child	2-year-old child	2-year-old child	2	4,72091812914	28,5563577056	681,072828784	3,0	25,0	 
Neural crest induction mesoderm paraxial	Neural crest induction by paraxial mesoderm	Neural crest induction by paraxial mesoderm	6	3,9714236158	24,709315429	128,850608978	2,0	36,0	 
gold lymphatic nanocages system	gold nanocages in a lymphatic system	gold nanocages in a lymphatic system	6	3,9714236158	24,709315429	100,303364565	2,0	23,0	 
assembly inner layer perivitelline	Assembly of the inner perivitelline layer	Assembly of the inner perivitelline layer	6	3,9714236158	24,709315429	169,599422878	2,0	25,0	 
cancer case colon	cases of colon cancer	cases of colon cancer|&|colon cancer cases	4	5,95713542369	34,648562585	596,576929007	3,0	29,0	 
involvement metastasis minimal node nonsentinel sentinel	nonsentinel node metastases after minimal sentinel node involvement	nonsentinel node metastases after minimal sentinel node involvement	8	3,9714236158	24,709315429	270,714286094	2,0	48,0	 
acute injury ischemic reperfusion	acute ischemic reperfusion injury	acute ischemic reperfusion injury	4	3,9714236158	24,709315429	377,689129258	2,0	17,0	 
activation characterization factor promoter transcription	characterization of promoter activation by the transcription factor	characterization of promoter activation by the transcription factor	8	3,9714236158	24,709315429	91,7828945156	2,0	16,0	 
level transcriptional	transcriptional level	transcriptional level	2	7,86819688189	43,5746529293	251,252439104	5,0	96,0	 
carcinoma cell growth inhibitory oral squamous	oral squamous cell carcinomas and growth inhibitory	oral squamous cell carcinomas and growth inhibitory	7	3,9714236158	24,709315429	333,577861359	2,0	24,0	 
breast cancer microinvasive	microinvasive breast cancer	microinvasive breast cancer	3	7,94284723159	43,9130686939	485,757403947	4,0	66,0	 
determination fate	fate determination	fate determination	2	6,29455750551	36,2643122592	309,601350743	7,0	138,0	 
PAX6 common factor genetic mutation	PAX6 mutation as a genetic factor common	PAX6 mutation as a genetic factor common	7	3,9714236158	24,709315429	243,626924419	2,0	9,0	 
malignant melanoma patient	patients with malignant melanoma	patients with malignant melanoma|&|malignant melanoma patients	4	27,7999653106	123,154356914	1679,06074159	14,0	182,0	 
node procedure sentinel	sentinel node procedure	sentinel node procedure|&|Sentinel node procedure	3	5,95713542369	34,648562585	255,745849279	9,0	132,0	 
eye planarian prototypic regeneration	prototypic planarian eye regeneration	prototypic planarian eye regeneration	4	3,9714236158	24,709315429	120,423924614	4,0	36,0	 
period time	time period	time period|&|times during the period|&|period of time	2	7,86819688189	43,5746529293	168,894997389	5,0	50,0	 
characteristic effect lipid physicochemical type	Effect of lipid types on physicochemical characteristics	Effect of lipid types on physicochemical characteristics	7	3,9714236158	24,709315429	153,617631543	2,0	17,0	 
histology lobular	lobular histology	lobular histology	2	4,72091812914	28,5563577056	196,415286805	3,0	37,0	 
activity respiratory-related response	respiratory-related activity and responses	respiratory-related activity and responses	4	3,9714236158	24,709315429	152,235926402	2,0	22,0	 
aniridia deletion family	deletion in a family with aniridia	deletion in a family with aniridia	6	3,9714236158	24,709315429	457,518241776	2,0	5,0	 
diabetes maturity onset	maturity onset diabetes	maturity onset diabetes	3	5,95713542369	34,648562585	100,100627801	3,0	30,0	 
catalytic domain kinase protein	protein kinases with catalytic domains	protein kinases with catalytic domains	5	3,9714236158	24,709315429	678,168396185	2,0	20,0	 
information valuable	valuable information	valuable information	2	4,72091812914	30,4705252852	223,640824076	2,0	30,0	 
detailed folding structure	detailed folding structures	detailed folding structures	3	3,9714236158	27,4620965111	72,930113696	1,0	11,0	 
bladder cancer	bladder cancer	bladder cancer	2	6,29455750551	38,0751436075	82,737037465	5,0	52,0	 
factor several transcription	several transcription factors	several transcription factors	3	5,95713542369	34,648562585	150,098121645	3,0	53,0	 
determination male sex	male sex determination	male sex determination	3	5,95713542369	41,1931447667	286,025599113	1,0	16,0	 
characteristic drug release vitro	vitro drug release characteristics	vitro drug release characteristics	4	3,9714236158	24,709315429	240,911823078	2,0	42,0	 
eye phenotype	eye phenotype	eye phenotype	2	4,72091812914	28,5563577056	160,748219786	3,0	47,0	 
fibroblast interstitial rat renal	rat renal interstitial fibroblasts	rat renal interstitial fibroblasts|&|rat renal interstitial fibroblast	4	5,95713542369	34,648562585	442,478168222	3,0	57,0	 
cellular modulation susceptibility	Modulation of cellular susceptibility	Modulation of cellular susceptibility	4	3,9714236158	24,709315429	153,867002404	2,0	25,0	 
low patient risk	patients at low risk	patients at low risk|&|patients with low risk	4	3,9714236158	24,709315429	126,732117188	2,0	21,0	 
consensus sequence	consensus sequence	consensus sequence	2	4,72091812914	28,5563577056	202,524331568	3,0	51,0	 
administration intravenous	intravenous administration	intravenous administration|&|Intravenous administration	2	7,86819688189	45,330390324	201,770966942	8,0	101,0	 
detailed examination	detailed examination	detailed examination	2	4,72091812914	28,5563577056	224,590670056	3,0	56,0	 
mutation novel	novel mutations	novel mutations|&|novel mutation	2	31,4727875276	130,668063839	181,630345143	25,0	276,0	 
axillary breast burden cancer disease patient	burden of axillary disease in breast cancer patients	burden of axillary disease in breast cancer patients	8	3,9714236158	24,709315429	279,894930096	2,0	23,0	 
secretion synthesis	synthesis and secretion	synthesis and secretion	3	7,86819688189	45,330390324	232,124923016	4,0	68,0	 
interface membrane plasma reconstruction skeleton three-dimensional	Three-dimensional reconstruction of the membrane skeleton at the plasma membrane interface	Three-dimensional reconstruction of the membrane skeleton at the plasma membrane interface	11	3,9714236158	24,709315429	531,688399023	2,0	21,0	 
blue dye radioisotope	blue dye and radioisotope	blue dye and radioisotope	4	9,92855903949	52,6758419438	453,892790766	5,0	71,0	 
cell differentiation glioblastoma neuronal stem-like	neuronal differentiation of glioblastoma stem-like cells	neuronal differentiation of glioblastoma stem-like cells	6	3,9714236158	24,709315429	446,651012428	2,0	22,0	 
aspiration cytology fine-needle	fine-needle aspiration cytology	fine-needle aspiration cytology	3	5,95713542369	34,648562585	167,128373182	3,0	44,0	 
cancer cell lung non-small patient	patients with non-small cell lung cancer	patients with non-small cell lung cancer|&|non-small cell lung cancer patients	6	5,95713542369	34,648562585	501,896532017	3,0	53,0	 
control healthy	healthy controls	healthy controls	2	22,0309512693	100,958202119	278,14820855	13,0	159,0	 
fibroblast fibronectin human normal	fibronectin by normal human fibroblasts	fibronectin by normal human fibroblasts	5	3,9714236158	24,709315429	318,665407879	2,0	18,0	 
false negative rate	false negative rate	false negative rate|&|False negative rate	3	41,6999479659	163,43013344	586,236522586	22,0	296,0	 
antioxidant defense reduction	Reduction in antioxidant defenses	Reduction in antioxidant defenses	4	3,9714236158	24,709315429	147,929137961	2,0	17,0	 
cell endothelial human	human endothelial cells	human endothelial cells|&|cells and human endothelial	3	5,95713542369	37,0639731435	272,281570183	2,0	30,0	 
lymph lymphatic mapping node sentinel	lymphatic mapping and sentinel lymph node	lymphatic mapping and sentinel lymph node|&|Lymphatic mapping and sentinel lymph node	6	7,94284723159	43,9130686939	380,016830081	4,0	70,0	 
cirrhotic nodule	cirrhotic nodules	cirrhotic nodules	2	4,72091812914	33,7428163761	162,540915323	1,0	22,0	 
P cell host invasion	host cell invasion by P	host cell invasion by P	5	3,9714236158	27,4620965111	145,302434299	1,0	20,0	 
cell expression	expression in cells	expression in cells|&|cells expression|&|cell expression|&|cells and the expression	3	11,0154756347	57,2981123768	79,5266900026	7,0	96,0	 
cellular protein	cellular proteins	cellular proteins	2	7,86819688189	43,5746529293	209,322041576	5,0	73,0	 
carcinoma papillary patient thyroid	patients with papillary thyroid carcinoma	patients with papillary thyroid carcinoma	5	7,94284723159	46,1980834466	225,501845266	5,0	86,0	 
increase significant	significant increases	significant increases	2	4,72091812914	28,5563577056	172,621736001	3,0	53,0	 
beta-cell pancreatic phenotype	pancreatic beta-cell phenotype	pancreatic beta-cell phenotype	3	3,9714236158	24,709315429	87,4380951848	2,0	24,0	 
corneal homeostasis	corneal homeostasis	corneal homeostasis	2	4,72091812914	33,7428163761	113,376947891	1,0	12,0	 
cancer colorectal patient	patients with colorectal cancer	patients with colorectal cancer|&|colorectal cancer patients	4	11,9142708474	63,2110103326	496,119646173	5,0	78,0	 
axillary dissection patient	axillary dissection for patients	axillary dissection for patients|&|axillary dissection in these patients	4	3,9714236158	24,709315429	230,437130419	2,0	59,0	 
E-cathepsin L balance	E-cathepsin L balance	E-cathepsin L balance	3	3,9714236158	24,709315429	337,519418233	2,0	8,0	 
differentiation embryonic photoreceptor zebrafish	photoreceptor differentiation in embryonic zebrafish	photoreceptor differentiation in embryonic zebrafish	5	3,9714236158	24,709315429	251,808497759	2,0	18,0	 
cell iPS	iPS cells	iPS cells|&|iPS cell	2	9,44183625827	54,3964683888	123,791990579	8,0	122,0	 
breast cancer examination extemporaneous lymph node sentinel	Extemporaneous examination of the sentinel lymph node in breast cancer	Extemporaneous examination of the sentinel lymph node in breast cancer	10	3,9714236158	24,709315429	505,091113299	2,0	20,0	 
NK extranodal	extranodal NK	extranodal NK	2	6,29455750551	44,9904218348	349,328191143	1,0	16,0	 
residual size tumor	residual tumor size	residual tumor size	3	3,9714236158	24,709315429	623,547158324	2,0	25,0	 
breast cancer management patient	management of breast cancer patients	management of breast cancer patients|&|management of patients with breast cancer	5	3,9714236158	24,709315429	201,640459214	2,0	35,0	 
administration injection multiple	administration of multiple injections	administration of multiple injections	4	5,95713542369	37,0639731435	210,996688055	2,0	21,0	 
care management standard	standard of care in the management	standard of care in the management|&|standard of care for the management	6	3,9714236158	24,709315429	194,389924367	2,0	25,0	 
NRK-52E adriamycin-induced apoptotic cell injury rat renal tubular	adriamycin-induced apoptotic injury in rat renal tubular cells NRK-52E	adriamycin-induced apoptotic injury in rat renal tubular cells NRK-52E	9	3,9714236158	24,709315429	471,962617647	2,0	18,0	 
codon exon stop	stop codon within exon	stop codon within exon	4	3,9714236158	24,709315429	437,670860424	2,0	46,0	 
parameter pharmacokinetic	pharmacokinetic parameters	pharmacokinetic parameters	2	7,86819688189	43,5746529293	209,577824598	5,0	75,0	 
hospital teaching	teaching hospital	teaching hospital	2	4,72091812914	28,5563577056	302,879178224	3,0	19,0	 
axillary case dissection lymph micrometastatic node sentinel	Axillary lymph node dissection in the case of sentinel lymph node micrometastatic	Axillary lymph node dissection in the case of sentinel lymph node micrometastatic	12	3,9714236158	24,709315429	294,787939695	2,0	21,0	 
ammonia production	ammonia production	ammonia production|&|production of ammonia	2	4,72091812914	30,4705252852	314,269634897	2,0	23,0	 
breast cancer protein resistance	breast cancer resistance protein	breast cancer resistance protein	4	3,9714236158	24,709315429	224,425880323	2,0	49,0	 
chromosomal complete exon-intron organization	Complete exon-intron organization and chromosomal	Complete exon-intron organization and chromosomal	5	3,9714236158	24,709315429	71,3090855219	2,0	18,0	 
cohort patient	cohort of patients	cohort of patients	3	4,72091812914	28,5563577056	141,371429416	5,0	29,0	 
gamma handheld probe	handheld gamma probe	handheld gamma probe	3	9,92855903949	52,6758419438	759,999856574	5,0	55,0	 
cell line rat	rat cell lines	rat cell lines	3	11,9142708474	65,8696030408	123,150354368	6,0	77,0	 
blood brain	blood and brain	blood and brain|&|blood brain	3	4,72091812914	28,5563577056	158,947132272	3,0	49,0	 
brain development eye	eye and brain development	eye and brain development	4	3,9714236158	27,4620965111	208,685942425	1,0	10,0	 
DNA cell kidney microinjection normal rat sequence	DNA sequence in normal rat kidney cells by microinjection	DNA sequence in normal rat kidney cells by microinjection	9	3,9714236158	24,709315429	405,516331976	2,0	35,0	 
cell progenitor stem	stem and progenitor cells	stem and progenitor cells	4	3,9714236158	24,709315429	322,537940173	2,0	32,0	 
cell oocyte presumptive sperm	presumptive sperm cells and oocytes	presumptive sperm cells and oocytes	5	3,9714236158	24,709315429	461,713243709	2,0	33,0	 
autism patient	autism patients	autism patients|&|patients with autism	2	4,72091812914	28,5563577056	247,555317636	3,0	42,0	 
patient percentage	percentage of patients	percentage of patients|&|percentage of the patients|&|percentages of patients	3	4,72091812914	28,5563577056	283,684247523	3,0	51,0	 
regulatory site	regulatory site	regulatory site|&|regulatory sites	2	4,72091812914	28,5563577056	216,779244552	3,0	36,0	 
acid folic	folic acid	folic acid	2	6,29455750551	44,9904218348	79,331096933	1,0	16,0	 
cell host invasion	invasion of host cells	invasion of host cells	4	5,95713542369	37,0639731435	238,813541893	2,0	21,0	 
fold vocal	vocal folds	vocal folds|&|vocal fold	2	6,29455750551	38,0751436075	542,242874591	3,0	38,0	 
antiproliferative effect	antiproliferative effects	antiproliferative effects	2	4,72091812914	28,5563577056	255,008528117	3,0	40,0	 
extent lesser	lesser extent	lesser extent	2	11,0154756347	57,2981123768	178,027921645	7,0	103,0	 
chain polymerase quantitative reaction real-time	real-time quantitative polymerase chain reaction	real-time quantitative polymerase chain reaction|&|quantitative real-time polymerase chain reaction	5	3,9714236158	24,709315429	330,82417663	2,0	35,0	 
acrosomal exocytosis	acrosomal exocytosis	acrosomal exocytosis	2	15,7363937638	79,7531436784	291,645433227	8,0	92,0	 
epithelial-to-mesenchymal transition	epithelial-to-mesenchymal transition	epithelial-to-mesenchymal transition	2	4,72091812914	28,5563577056	155,118206299	3,0	41,0	 
cell corneal limbal stem	corneal limbal stem cells	corneal limbal stem cells	4	5,95713542369	37,0639731435	326,665164821	2,0	35,0	 
protein zona	zona proteins	zona proteins	2	6,29455750551	38,0751436075	140,0425654	3,0	65,0	 
differentiation specification	specification and differentiation	specification and differentiation|&|Specification and differentiation	3	4,72091812914	30,4705252852	135,366232522	2,0	32,0	 
benefit therapeutic	therapeutic benefits	therapeutic benefits|&|therapeutic benefit	2	4,72091812914	28,5563577056	131,788545785	3,0	42,0	 
statistical test	statistical tests	statistical tests|&|Statistical test	2	4,72091812914	28,5563577056	111,053895073	3,0	24,0	 
cancer tissue	cancer tissues	cancer tissues	2	6,29455750551	36,2643122592	227,356733871	6,0	92,0	 
lymph melanoma node patient sentinel	sentinel lymph nodes in melanoma patients	sentinel lymph nodes in melanoma patients|&|sentinel lymph node of melanoma patients|&|sentinel lymph nodes of patients with melanoma|&|sentinel lymph nodes of melanoma patients	6	7,94284723159	43,9130686939	378,892818803	8,0	120,0	 
mammalian oocyte	mammalian oocytes	mammalian oocytes|&|mammalian oocyte	2	6,29455750551	36,2643122592	116,125633865	4,0	68,0	 
more patient	patients more	patients more|&|more patients	2	4,72091812914	28,5563577056	162,898147767	3,0	60,0	 
limited surgery	limited surgery	limited surgery	2	4,72091812914	28,5563577056	276,472309798	3,0	40,0	 
cell cluster	cell clusters	cell clusters|&|cell cluster|&|clusters of cells	2	11,0154756347	57,2981123768	257,287365165	7,0	143,0	 
formation important role	important roles in formation	important roles in formation|&|important role in the formation	4	3,9714236158	24,709315429	82,2870972159	2,0	19,0	 
gene other	other genes	other genes|&|gene other	2	28,3255087748	122,204688819	130,683568958	17,0	255,0	 
axillary breast cancer clinically-negative node	breast cancers with clinically-negative axillary nodes	breast cancers with clinically-negative axillary nodes	6	3,9714236158	24,709315429	224,071695727	2,0	35,0	 
lymph node status	lymph node status	lymph node status|&|lymph nodes status	3	35,7428125422	145,891855152	330,009894976	46,0	766,0	 
development early stage	early stages of development	early stages of development	4	5,95713542369	34,648562585	445,797776585	3,0	59,0	 
cell responder	responder cells	responder cells	2	4,72091812914	33,7428163761	185,271094889	1,0	18,0	 
growth inhibitor	growth inhibitor	growth inhibitor	2	7,86819688189	50,7842088087	206,056872025	4,0	67,0	 
